Date,Open,High,Low,Close ,Adj Close ,Volume
25-Apr-25,261.69,286.85,259.63,284.95,284.95,"167,059,300"
24-Apr-25,250.5,259.54,249.2,259.51,259.51,"94,464,200"
23-Apr-25,254.86,259.45,244.43,250.74,250.74,"150,381,900"
22-Apr-25,230.96,242.79,229.85,237.97,237.97,"120,858,500"
21-Apr-25,230.26,232.21,222.79,227.5,227.5,"97,768,000"
17-Apr-25,243.47,244.34,237.68,241.37,241.37,"83,404,800"
16-Apr-25,247.61,251.97,233.89,241.55,241.55,"112,378,700"
15-Apr-25,249.91,258.75,247.54,254.11,254.11,"79,594,300"
14-Apr-25,258.36,261.8,245.93,252.35,252.35,"100,135,200"
11-Apr-25,251.84,257.74,241.36,252.31,252.31,"128,948,100"
10-Apr-25,260,262.49,239.33,252.4,252.4,"181,722,600"
9-Apr-25,224.69,274.69,223.88,272.2,272.2,"219,433,400"
8-Apr-25,245,250.44,217.8,221.86,221.86,"171,603,500"
7-Apr-25,223.78,252,214.25,233.29,233.29,"183,453,800"
4-Apr-25,255.38,261,236,239.43,239.43,"181,229,400"
3-Apr-25,265.29,276.3,261.51,267.28,267.28,"136,174,300"
2-Apr-25,254.6,284.99,251.27,282.76,282.76,"212,787,800"
1-Apr-25,263.8,277.45,259.25,268.46,268.46,"146,486,900"
31-Mar-25,249.31,260.56,243.36,259.16,259.16,"134,008,900"
28-Mar-25,275.58,276.1,260.57,263.55,263.55,"123,809,400"
27-Mar-25,272.48,291.85,271.82,273.13,273.13,"162,572,100"
26-Mar-25,282.66,284.9,266.51,272.06,272.06,"153,629,800"
25-Mar-25,283.6,288.2,271.28,288.14,288.14,"150,361,500"
24-Mar-25,258.08,278.64,256.33,278.39,278.39,"169,079,900"
21-Mar-25,234.99,249.52,234.55,248.71,248.71,"132,728,700"
20-Mar-25,233.35,238,230.05,236.26,236.26,"99,028,300"
19-Mar-25,231.61,241.41,229.2,235.86,235.86,"111,993,800"
18-Mar-25,228.16,230.1,222.28,225.31,225.31,"111,477,600"
17-Mar-25,245.06,245.4,232.8,238.01,238.01,"111,900,600"
14-Mar-25,247.31,251.58,240.73,249.98,249.98,"100,242,300"
13-Mar-25,248.13,248.29,232.6,240.68,240.68,"114,813,500"
12-Mar-25,247.22,251.84,241.1,248.09,248.09,"142,215,700"
11-Mar-25,225.31,237.06,217.02,230.58,230.58,"174,896,400"
10-Mar-25,252.54,253.37,220,222.15,222.15,"189,076,900"
7-Mar-25,259.32,266.25,250.73,262.67,262.67,"102,369,600"
6-Mar-25,272.06,272.65,260.02,263.45,263.45,"98,451,600"
5-Mar-25,272.92,279.55,267.71,279.1,279.1,"94,042,900"
4-Mar-25,270.93,284.35,261.84,272.04,272.04,"126,706,600"
3-Mar-25,300.34,303.94,277.3,284.65,284.65,"115,551,400"
28-Feb-25,279.5,293.88,273.6,292.98,292.98,"115,697,000"
27-Feb-25,291.16,297.23,280.88,281.95,281.95,"101,748,200"
26-Feb-25,303.71,309,288.04,290.8,290.8,"100,118,300"
25-Feb-25,327.02,328.89,297.25,302.8,302.8,"134,228,800"
24-Feb-25,338.14,342.4,324.7,330.53,330.53,"76,052,300"
21-Feb-25,353.44,354.98,334.42,337.8,337.8,"74,058,600"
20-Feb-25,361.51,362.3,348,354.4,354.4,"45,965,400"
19-Feb-25,354,367.34,353.67,360.56,360.56,"67,094,400"
18-Feb-25,355.01,359.1,350.02,354.11,354.11,"51,631,700"
14-Feb-25,360.62,362,347.5,355.84,355.84,"68,277,300"
13-Feb-25,345,358.69,342.85,355.94,355.94,"89,441,500"
12-Feb-25,329.94,346.4,329.12,336.51,336.51,"105,382,700"
11-Feb-25,345.8,349.37,325.1,328.5,328.5,"118,543,400"
10-Feb-25,356.21,362.7,350.51,350.73,350.73,"77,514,900"
7-Feb-25,370.19,380.55,360.34,361.62,361.62,"70,298,300"
6-Feb-25,373.03,375.4,363.18,374.32,374.32,"77,918,200"
5-Feb-25,387.51,388.39,375.53,378.17,378.17,"57,223,300"
4-Feb-25,382.63,394,381.4,392.21,392.21,"57,072,200"
3-Feb-25,386.68,389.17,374.36,383.68,383.68,"93,732,100"
31-Jan-25,401.53,419.99,401.34,404.6,404.6,"83,568,200"
30-Jan-25,410.78,412.5,384.41,400.28,400.28,"98,092,900"
29-Jan-25,395.21,398.59,384.48,389.1,389.1,"68,033,600"
28-Jan-25,396.91,400.59,386.5,398.09,398.09,"48,910,700"
27-Jan-25,394.8,406.69,389,397.15,397.15,"58,125,500"
24-Jan-25,414.45,418.88,405.78,406.58,406.58,"56,427,100"
23-Jan-25,416.06,420.73,408.95,412.38,412.38,"50,690,600"
22-Jan-25,416.81,428,414.59,415.11,415.11,"60,963,300"
