file_name,title,author,subject,creation_date,mod_date,page_count,extracted_at
2023-amazon-sustainability-report.pdf,,,,D:20240910132450-07'00',D:20240910132546-07'00',98,2025-05-02T17:55:10.529422
2023-tesla-impact-report.pdf,,,,D:20240522222622-07'00',D:20240530201107+02'00',160,2025-05-02T17:55:11.375187
Microsoft Annual Report 2024.pdf,,Gena,,D:20250417194737+00'00',D:20250417194737Z,91,2025-05-02T17:55:15.691570
NASDAQ_GOOG_2023.pdf,Google Diversity Annual Report 2023,,,D:20230504155306-07'00',D:20230504163124-07'00',115,2025-05-02T17:55:16.180411
